date,simulated_close,order_flow,action_random,action_momentum,action_contrarian,action_news_cluster
2023-05-08,126.6598541828913,0.0,hold,buy,sell,hold
2023-05-08,126.7394722679962,0.0,hold,sell,buy,hold
2023-05-08,126.68237114497859,-1.0,sell,buy,sell,hold
2023-05-11,126.72939913243792,-1.0,sell,sell,buy,hold
2023-05-11,127.18641263927458,-1.0,sell,buy,sell,hold
2023-05-11,126.84354801308672,-1.0,sell,buy,sell,hold
2023-05-15,126.48734810420173,1.0,buy,sell,buy,hold
2023-05-15,125.75100692550137,-1.0,sell,sell,buy,hold
2023-05-15,126.93895864562934,-1.0,sell,sell,buy,hold
2023-05-15,126.66579556529548,1.0,buy,buy,sell,hold
2023-05-17,126.8105584004263,0.0,hold,sell,buy,hold
2023-05-17,127.11079335546307,-1.0,sell,buy,sell,hold
2023-05-18,126.86569825170224,1.0,buy,buy,sell,hold
2023-05-18,126.9308213475305,0.0,hold,sell,buy,hold
2023-05-18,127.07956814370377,-1.0,sell,buy,sell,hold
2023-05-25,127.06108753733658,0.0,hold,buy,sell,hold
2023-05-25,127.09157431054233,0.0,hold,sell,buy,hold
2023-05-26,126.3490838300909,0.0,hold,buy,sell,hold
2023-05-26,126.35384967664935,0.0,hold,sell,buy,hold
2023-05-30,126.5378481241573,0.0,hold,buy,sell,hold
2023-05-30,127.52449930672124,1.0,buy,buy,sell,hold
2023-05-31,126.94354440185037,-1.0,sell,buy,sell,hold
2023-05-31,126.24983544794766,1.0,buy,sell,buy,hold
2023-06-02,125.91182323523476,-1.0,sell,sell,buy,hold
2023-06-02,125.83781015897307,-1.0,sell,sell,buy,hold
2023-06-08,125.8441817080235,0.0,hold,sell,buy,hold
2023-06-13,125.26773164610148,-1.0,sell,buy,sell,hold
2023-06-13,125.54116811023573,1.0,buy,sell,buy,hold
2023-06-14,125.76995263082347,-1.0,sell,buy,sell,hold
2023-06-15,125.33374181505552,-1.0,sell,buy,sell,hold
2023-06-15,124.82213356892987,-1.0,sell,sell,buy,hold
2023-06-22,124.88008291341416,1.0,buy,sell,buy,hold
2023-06-23,125.15947558666582,1.0,buy,buy,sell,hold
2023-06-30,125.8043321804655,-1.0,sell,buy,sell,hold
2023-07-06,126.04609085088916,1.0,buy,buy,sell,hold
2023-07-06,125.49735335198376,0.0,hold,buy,sell,hold
2023-07-07,125.8219648277319,0.0,hold,sell,buy,hold
2023-07-12,125.91259911859532,0.0,hold,buy,sell,hold
2023-07-12,126.59908020229798,0.0,hold,buy,sell,hold
2023-07-12,126.91524881004801,-1.0,sell,buy,sell,hold
2023-07-12,126.96944043957511,-1.0,sell,buy,sell,hold
2023-07-13,128.18302585698476,0.0,hold,buy,sell,hold
2023-07-14,127.57343518542591,0.0,hold,buy,sell,hold
2023-07-14,127.34867513910062,1.0,buy,sell,buy,hold
2023-07-14,128.25980811890764,1.0,buy,sell,buy,hold
2023-07-14,128.27401274916843,-1.0,sell,buy,sell,hold
2023-07-17,128.7471522125246,0.0,hold,buy,sell,hold
2023-07-19,128.96108984551657,-1.0,sell,buy,sell,hold
2023-07-19,129.38984450343375,-1.0,sell,buy,sell,hold
2023-07-19,129.6368432539753,0.0,hold,buy,sell,hold
2023-07-20,130.11496166664207,1.0,buy,buy,sell,hold
2023-07-20,130.81611365922456,1.0,buy,buy,sell,hold
2023-07-20,129.52767535522653,1.0,buy,buy,sell,hold
2023-07-25,130.28044106548583,-1.0,sell,sell,buy,hold
2023-07-26,130.85730109381564,1.0,buy,buy,sell,hold
2023-07-31,131.80736893484914,-1.0,sell,buy,sell,hold
2023-08-03,132.8231360996658,1.0,buy,buy,sell,hold
2023-08-03,133.13424542563845,0.0,hold,buy,sell,hold
2023-08-03,133.3963029638178,0.0,hold,buy,sell,hold
2023-08-03,133.97374638585117,0.0,hold,buy,sell,hold
2023-08-16,134.32288232191655,0.0,hold,buy,sell,hold
2023-08-22,134.1346867800416,0.0,hold,buy,sell,hold
2023-08-24,134.54829826780437,0.0,hold,sell,buy,hold
2023-08-24,134.3506935253657,0.0,hold,buy,sell,hold
2023-08-25,134.91991840832065,1.0,buy,sell,buy,hold
2023-08-29,134.557668727073,0.0,hold,buy,sell,hold
2023-08-30,134.2774046451258,-1.0,sell,sell,buy,hold
2023-08-30,133.8549876891106,0.0,hold,sell,buy,hold
2023-09-06,133.35912993012542,-1.0,sell,sell,buy,hold
2023-09-07,133.66956619494786,1.0,buy,sell,buy,hold
2023-09-12,134.04226882424177,-1.0,sell,buy,sell,hold
2023-09-12,134.64015817212763,0.0,hold,buy,sell,hold
